id,raw_row_id,nufi_keyword,audio_file
1,1,',
2,2,á,a2
3,3,à,a1
4,4,ǎ,a7
5,5,ā,a3
6,6,ɑ́,af2
7,7,ɑ̀,af1
8,8,à hāà,a1_ha3a1
9,9,à lǎh wèn mɑ̀ ǎ làh,
10,10,āfrīkà,a3fri3ka1
11,11,àhâ,a1ha3a1
12,12,āmērīkà,a3me3ri3ka1
13,13,āzìà,a3zia1
14,14,bà,ba1
15,15,bǎ,ba7
16,16,bā,ba3
17,17,bɑ́,baf2
18,18,bɑ̂,baf5
19,19,bɑ̌,baf7
20,20,bɑ̄,baf3
21,21,báá,baa2
22,22,bàá,ba7
23,23,bàâ,ba1a5
24,24,bǎàh,ba7a1h
25,25,bǎh,ba7h
26,26,báhà,ba2ha1
27,27,bàhâ,ba1ha5
28,28,bàt,ba1t
29,29,bàtngʉ́,ba1tnguu2
30,30,bàtntō',ba1tnto3_g
31,31,bê,be5
32,32,béé,bee2
33,33,béè,be2e1
34,34,bì,bi1
35,35,bî,bi5
36,36,bī,bi3
37,37,bíí,bi22
38,38,bíì,bi2i1
39,39,bò,bo1
40,40,bô,bo5
41,41,bō,bo3
42,42,bōksì,bo3ksi1
43,43,bòlò,bo1lo1
44,44,cá',ca2_g
45,45,cà',ca1_g
46,46,cǎ',ca7_g
47,47,cā',ca3_g
48,48,cɑ̀',caf1_g
49,49,cɑ̄',caf3_g
50,50,cɑ́'nā,
51,51,cɑ̀ɑ̀,caff1
52,52,cɑ̄ɑ̄,caff3
53,53,cɑ́ɑ́hù,
54,54,cɑ́ɑ́lò',caff2lo1_g
55,55,cɑ̀ɑ̄nshù,caf1af3nshu1
56,56,cɑ̄ɑ̄sī,caff3si3
57,57,cáb,ca2b
58,58,càb,ca1b
59,59,cāb,ca3b
60,60,càbɑ̀,ca1baf1
61,61,cābɑ̄,ca3baf3
62,62,cábkò,ca2bko1
63,63,cābnshʉ̀',ca3bnshuu1_g
64,64,cábnthʉ̄,ca2bnthuu3
65,65,cābshʉ̀',ca3bshuu1_g
66,66,càbsì,ca1bsi1
67,67,càh,ca1h
68,68,cāh,ca3h
69,69,càhcàh,ca1hca1h
70,70,càhlɑ̄',ca1hlaf3_g
71,71,cáhnshì,ca2hnshi1
72,72,cáhntōk,ca2hnto3k
73,73,ncǎhmbə̀,
74,74,cǎhnzɑ̄,ca7hnzaf3
75,75,cáhnzhì,ca2hnzhi1
76,76,cáhnzhìè,ca2hnzhie1
77,77,cāhnzhìè,ca3hnzhie1
78,78,càhnzhì,
79,79,càhsì,ca1hsi1
80,80,cāhsì,ca3hsi1
81,81,cāhsī,ca3hsi3
82,82,càhsū',ca1hsu3_g
83,83,càhthʉ̄',ca1htuu3_g
84,84,cák,ca2k
85,85,càk,ca1k
86,86,cǎk,ca7k
87,87,cāk,ca3k
88,88,càkàlà,ca1ka1la1
89,89,càklɑ̀,ca1klaf1
90,90,cǎkmōh,ca7kmo3h
91,91,cákncà',ca2knca1_g
92,92,cákngà',ca2knga1_g
93,93,cákngǎ'njá'zū,ca2knga7_gnja2_gzu3
94,94,cákngǎ'nzhwìàwū,ca2knga7_g_nzhwia1_wu2
95,95,càknì,ca1kni1
96,96,cákntèn,ca2knte1n
97,97,cākntèn,ca3knte1n
98,98,cákwū,ca2kwu3
99,99,cǎ'lə̀ə̀,ca7_gleu11
100,100,cám,ca2m
101,101,càm,ca1m
102,102,cām,ca3m
103,103,cǎmbà',
104,104,cǎmcǎm,ca7mca7m
105,105,cámkò,ca2mko1
106,106,cámnā,ca2mna3
107,107,cāmnā,ca3mna3
108,108,càmndát,ca1mnda2t
109,109,cámndʉ̄ɑ̄,ca2mnduuaf3
110,110,Cǎmnkām,
111,111,cǎmngə̀',ca7mngeu1_g
112,112,cǎmngwè',ca7mngwe1_g
113,113,cāmnshʉ̀',ca3mnshuu1_g
114,114,cámnzhì,ca2mnzhi1
115,115,cámpè'è,ca2mpe1_ge1
116,116,cāmshʉ̀',ca3mnshuu1_g
117,117,càmsì,ca1msi1
118,118,cǎ'ndhī,ca7_gndi3
119,119,cáp,ca2p
120,120,cāp,ca3p
121,121,cápkò,ca2pko1
122,122,cápnā,ca2pna3
123,123,cāpnā,ca3pna3
124,124,cáp-pè'è,ca2pe1_ge1
125,125,câptēlɑ̄,ca5pte3laf3
126,126,câptēnɑ̄,ca5pte3naf3
127,127,cà'sì,ca1_gsi1
128,128,cā'sī,ca3_gsi3
129,129,cɑ̀'sì,caf1_gsi1
130,130,cà'sǐlə́ə́ndʉ̄ɑ̄,ca1_gsi7_leu22nduuaf3
131,131,càt,ca1t
132,132,càtsì,
133,133,cāt,ca3t
134,134,cātnòk,ca3tno1k
135,135,cátncò,
136,136,cátnshì,ca2tnshi1
137,137,cātsī,ca3tsi3
138,138,cɔ̀,co_star_1
139,139,cɔ̀ɔ̄nə̀ə̀,co_star_1_o_star_3_neu11
140,140,cɔ̀nə̀ə̀,co_star1_neu11
141,141,cɔ̀sì,
142,142,cə̀',ceu1_g
143,143,cə̄',ceu3_g
144,144,cə̂b,ceu5b
145,145,cə̂bsì,ceu5bsi1
146,146,cə̄bsì,ceu3bsi1
147,147,cə̄bsī,ceu3bsi3
148,148,cə̂bsǐlíé'zī,ceu3bsi7_lie2_gzi3
149,149,cə̀ə̀,ceu11
150,150,cə̄ə̄,ceu33
151,151,cə́ə́nzèn,ceu2nze1n
152,152,cə̄ə̄nzèn,ceu33nze1n
153,153,cə̀'fī,ceu1_gfi3
154,154,cèh,ce1h
155,155,cēh,ce3h
156,156,céhwū,ce2hwu3
157,157,cên,ce5n
158,158,cēn,ce3n
159,159,cēnɑ̄,ce3naf3
160,160,cə̌'nkàp,ceu7_gnka1p
161,161,cěnkwēn,ce7nkwe3n
162,162,cēnsī,ce3nsi3
163,163,cə́nzèn,ceu2nze1n
164,164,cɛ̀h,cai1h
165,165,cī,ci3
166,166,cìà,cia1
167,167,cìcàh,ci1ca1h
168,168,cìcǎh,ci1ca7h
169,169,cícāt,ci2ca3t
170,170,cícātlɑ̄,ci2ca3tlaf3
171,171,cìcēn,ci1ce3n
172,172,cìcò',ci1co1_g
173,173,cīcō'ò,ci3co3_go1
174,174,cìè,cie1
175,175,cīē',cie3_g
176,176,cìì,ci11
177,177,cīī,ci33
178,178,cīmɑ̄nkò',ci3maf3nko1_g
179,179,cìncēn,ci1nce3n
180,180,cò,co1
181,181,cò',co1_g
182,182,cô',co5_g
183,183,cō,co3
184,184,cō',co3_g
185,185,cò' kāhā,co1_g_ka3ha3
186,186,còb,co1p
187,187,cô'fʉ̀,co5_gfuu1
188,188,còh,co1h
189,189,côh,co5h
190,190,cōh,co3h
191,191,cōhnā,co3hna3
192,192,cōhnɛ̄,co3hnai3
193,193,cōhshwīī,co3hshwii3
194,194,còhsì,co1hsi1
195,195,côhsì,co5hsi1
196,196,cōhsì,co3hsi1
197,197,cōhsī,co3hsi3
198,198,cōhsípɑ̀',co3hsi2paf1_g
199,199,cōhthʉ̄,co3hthuu3
200,200,còk,co1k
201,201,cókāp,co2ka3p
202,202,cōk,
203,203,cōkə̀ə̀,
204,204,cōkwàà,co3kwaa1
205,205,còmɑ̀,co1maf1
206,206,có'mfɑ̀',co2_gmfaf1_g
207,207,cō'mfɑ̀',co3_gmfaf1_g
208,208,còmnə̀ə̀,co1mneu11
209,209,cômsì,co5msi1
210,210,cōmsì,co3msi1
211,211,cōmsī,co3msi3
212,212,cômsǐlíé'zī,co3msi7_lie2_gzi3
213,213,cō'nàk,co3_gna1k
214,214,cō'ncāt,co3_gnca3t
215,215,cō'ndhī,co3_gndhi3
216,216,cô'ndù',co5_gndu1_g
217,217,cô'ndʉ̄ɑ̄,co5_gnduuaf3
218,218,cò'ngāp,co1_gnga3p
219,219,có'nkhù,co2_gnkhu1
220,220,cō'nkhù,co3_gnkhu1
221,221,cǒ'nsè',co7_gnse1_g
222,222,cǒ'nsə̀',co7_gnseu1_g
223,223,cónshì,co2nshi1
224,224,có'nshù,co2_gnshu1
