id,raw_row_id,nufi_keyword,audio_file
1,1,á,a2
2,2,à,a1
3,3,ǎ,a7
4,4,ā,a3
5,5,à hāà,a1_ha3a1
6,6,āfrīkà,a3fri3ka1
7,7,àhâ,a1ha3a1
8,8,āmērīkà,a3me3ri3ka1
9,9,āzìà,a3zia1
10,10,ɑ́,af2
11,11,ɑ̀,af1
12,12,bà,ba1
13,13,bǎ,ba7
14,14,bā,ba3
15,15,báá,baa2
16,16,bàá,ba7
17,17,bàâ,ba1a5
18,18,bǎàh,ba7a1h
19,19,bǎh,ba7h
20,20,báhà,ba2ha1
21,21,bàhâ,ba1ha5
22,22,bàt,ba1t
23,23,bàtngʉ́,ba1tnguu2
24,24,bàtntō',ba1tnto3_g
25,25,bɑ́,baf2
26,26,bɑ̂,baf5
27,27,bɑ̌,baf7
28,28,bɑ̄,baf3
29,29,bɑ̄tɑ̄mbɑ̄,baf3taf3mbaf3
30,30,bê,be5
31,31,béé,bee2
32,32,béè,be2e1
33,33,bì,bi1
34,34,bî,bi5
35,35,bī,bi3
36,36,bíí,bi22
37,37,bíì,bi2i1
38,38,bò,bo1
39,39,bô,bo5
40,40,bō,bo3
41,41,bōksì,bo3ksi1
42,42,bòlò,bo1lo1
43,43,cá',ca2_g
44,44,cà',ca1_g
45,45,cǎ',ca7_g
46,46,cā',ca3_g
47,47,cǎ'lə̀ə̀,ca7_gleu11
48,48,cǎ'ndhī,ca7_gndi3
49,49,cà'sì,ca1_gsi1
50,50,cā'sī,ca3_gsi3
51,51,cà'sǐlə́ə́ndʉ̄ɑ̄,ca1_gsi7_leu22nduuaf3
52,52,cáb,ca2b
53,53,càb,ca1b
54,54,cāb,ca3b
55,55,càbɑ̀,ca1baf1
56,56,cābɑ̄,ca3baf3
57,57,cábkò,ca2bko1
58,58,cābnshʉ̀',ca3bnshuu1_g
59,59,cábnthʉ̄,ca2bnthuu3
60,60,cābshʉ̀',ca3bshuu1_g
61,61,càbsì,ca1bsi1
62,62,càh,ca1h
63,63,cāh,ca3h
64,64,càhcàh,ca1hca1h
65,65,càhlɑ̄',ca1hlaf3_g
66,66,cáhndʉ̄',ca2hnduu3_g
67,67,cáhnshì,ca2hnshi1
68,68,cáhntōk,ca2hnto3k
69,69,cǎhnzɑ̄,ca7hnzaf3
70,70,cáhnzhì,ca2hnzhi1
71,71,càhnzhì,ca1hnzhi1
72,72,cáhnzhìè,ca2hnzhie1
73,73,cāhnzhìè,ca3hnzhie1
74,74,càhsì,ca1hsi1
75,75,cāhsì,ca3hsi1
76,76,cāhsī,ca3hsi3
77,77,càhsū',ca1hsu3_g
78,78,càhthʉ̄',ca1htuu3_g
79,79,cák,ca2k
80,80,càk,ca1k
81,81,cǎk,ca7k
82,82,cāk,ca3k
83,83,càkàlà,ca1ka1la1
84,84,càklɑ̀,ca1klaf1
85,85,cǎkmōh,ca7kmo3h
86,86,cákncà',ca2knca1_g
87,87,cákngà',ca2knga1_g
88,88,cákngǎ'njá'zū,ca2knga7_gnja2_gzu3
89,89,cákngǎ'nzhwìàwū,ca2knga7_g_nzhwia1_wu2
90,90,càknì,ca1kni1
91,91,cákntèn,ca2knte1n
92,92,cākntèn,ca3knte1n
93,93,cákwū,ca2kwu3
94,94,cám,ca2m
95,95,càm,ca1m
96,96,cām,ca3m
97,97,cǎmbà',ca7mba1_g
98,98,cǎmcǎm,ca7mca7m
99,99,cámkò,ca2mko1
100,100,cámnā,ca2mna3
101,101,cāmnā,ca3mna3
102,102,càmndát,ca1mnda2t
103,103,cámndʉ̄ɑ̄,ca2mnduuaf3
104,104,cǎmngə̀',ca7mngeu1_g
105,105,cǎmngwè',ca7mngwe1_g
106,106,cǎmnkām,ca7mnka3m
107,107,cāmnshʉ̀',ca3mnshuu1_g
108,108,cámnzhì,ca2mnzhi1
109,109,cámpè'è,ca2mpe1_ge1
110,110,cāmshʉ̀',ca3mnshuu1_g
111,111,càmsì,ca1msi1
112,112,cáp,ca2p
113,113,cāp,ca3p
114,114,cáp-pè'è,ca2pe1_ge1
115,115,cápkò,ca2pko1
116,116,cápnā,ca2pna3
117,117,cāpnā,ca3pna3
118,118,câptēlɑ̄,ca5pte3laf3
119,119,câptēnɑ̄,ca5pte3naf3
120,120,càt,ca1t
121,121,cāt,ca3t
122,122,cátncò,ca2tnco1
123,123,cātnòk,ca3tno1k
124,124,cátnshì,ca2tnshi1
125,125,càtsì,ca1tsi1
126,126,cātsī,ca3tsi3
127,127,cɑ̀',caf1_g
128,128,cɑ̄',caf3_g
129,129,cɑ́'nā,caf2_gna3
130,130,cɑ̀'sì,caf1_gsi1
131,131,cɑ̀ɑ̀,caff1
132,132,cɑ̄ɑ̄,caff3
133,133,cɑ́ɑ́hù,caff2hu1
134,134,cɑ́ɑ́lò',caff2lo1_g
135,135,cɑ̀ɑ̄nshù,caf1af3nshu1
136,136,cɑ̄ɑ̄sī,caff3si3
137,137,cèh,ce1h
138,138,cēh,ce3h
139,139,céhwū,ce2hwu3
140,140,cên,ce5n
141,141,cēn,ce3n
142,142,cēnɑ̄,ce3naf3
143,143,cěnkwēn,ce7nkwe3n
144,144,cēnsī,ce3nsi3
145,145,cə̀',ceu1_g
146,146,cə̄',ceu3_g
147,147,cə̀'fī,ceu1_gfi3
148,148,cə̌'nkàp,ceu7_gnka1p
149,149,cə̂b,ceu5b
150,150,cə̂bsì,ceu5bsi1
151,151,cə̄bsì,ceu3bsi1
152,152,cə̄bsī,ceu3bsi3
153,153,cə̂bsǐlíé'zī,ceu5bsi7lie2_gzi3
154,154,cə̀ə̀,ceu11
155,155,cə̄ə̄,ceu33
156,156,cə́ə́nzèn,ceu2nze1n
157,157,cə̄ə̄nzèn,ceu33nze1n
158,158,cə́nzèn,ceu2nze1n
159,159,cɛ̀h,cai1h
160,160,cī,ci3
161,161,cìà,cia1
162,162,cìāngàtnì,ci1a3nga1tni1
163,163,cìcàh,ci1ca1h
164,164,cìcǎh,ci1ca7h
165,165,cícāt,ci2ca3t
166,166,cícātlɑ̄,ci2ca3tlaf3
167,167,cìcēn,ci1ce3n
168,168,cìcò',ci1co1_g
169,169,cīcō'ò,ci3co3_go1
170,170,cìè,cie1
171,171,cīē',cie3_g
172,172,cìì,ci11
173,173,cīī,ci33
174,174,cīmɑ̄nkò',ci3maf3nko1_g
175,175,cìncēn,ci1nce3n
176,176,cò,co1
177,177,cō,co3
178,178,cò',co1_g
179,179,cô',co5_g
180,180,cō',co3_g
181,181,cò' kāhā,co1_g_ka3ha3
182,182,cô'fhʉ̀,co5_gfhuu1
183,183,cô'fʉ̀,co5_gfuu1
184,184,có'mfɑ̀',co2_gmfaf1_g
185,185,cō'mfɑ̀',co3_gmfaf1_g
186,186,cō'nàk,co3_gna1k
187,187,cō'ncāt,co3_gnca3t
188,188,cō'ndhī,co3_gndhi3
189,189,cô'ndù',co5_gndu1_g
190,190,cô'ndʉ̄ɑ̄,co5_gnduuaf3
191,191,cò'ngāp,co1_gnga3p
192,192,có'nìnì,co2_gni1ni1
193,193,có'nkhù,co2_gnkhu1
194,194,cō'nkhù,co3_gnkhu1
195,195,cǒ'nsè',co7_gnse1_g
196,196,cǒ'nsə̀',co7_gnseu1_g
197,197,có'nshù,co2_gnshu1
198,198,cô'nshù,co5_gnshu1
199,199,có'nzhì,co2_gnzhi1
200,200,cò'ò,co1_go1
201,201,cǒ'sè',co7_gse1_g
202,202,cǒ'sə̀',co7_gseu1_g
203,203,cō'sī,co3_gsi3
204,204,cô'tēnɑ̄,co5_gte3naf3
205,205,có'vàm,co2_gva1m
206,206,có'vǎmnkɑ̀',co2_gva7mnkaf1_g
207,207,có'vàp,co2_gva1p
208,208,còb,co1p
209,209,cǒbnzhì,co7bnzhi1
210,210,còh,co1h
211,211,côh,co5h
212,212,cōh,co3h
213,213,cōhnā,co3hna3
214,214,cōhnɛ̄,co3hnai3
215,215,cōhshwīī,co3hshwii3
216,216,còhsì,co1hsi1
217,217,côhsì,co5hsi1
218,218,cōhsì,co3hsi1
219,219,cōhsī,co3hsi3
220,220,cōhsípɑ̀',co3hsi2paf1_g
221,221,cōhthʉ̄,co3hthuu3
222,222,còk,co1k
223,223,cōk,co3k
224,224,cókāp,co2ka3p
225,225,cōkwàà,co3kwaa1
226,226,còmɑ̀,co1maf1
227,227,còmnə̀ə̀,co1mneu11
228,228,cômsì,co5msi1
229,229,cōmsì,co3msi1
230,230,cōmsī,co3msi3
231,231,cômsǐlíé'zī,co5msi7lie2_gzi3
232,232,cónshì,co2nshi1
233,233,còò,coo1
234,234,cǒò,co7o1
235,235,cōōpō,coo3po3
236,236,cóp,co2p
237,237,còp,co1p
238,238,cōp,co3p
239,239,cóp-pè'è,co2pe1_ge1
240,240,cōp-pè'è,co3pe1_ge1
241,241,cópkwà'sì,co2pkwa1_gsi1
242,242,cóplīē',co2plie3_g
243,243,cōplīē',co3plie3_g
244,244,cópndʉ̄ɑ̄,co2pnduuaf3
245,245,cōpndʉ̄ɑ̄,co3pnduuaf3
246,246,cǒpngə̀',co7pngeu1_g
247,247,cōpngòp,co3pngo1p
248,248,cǒpngwè',co7pngwe1_g
249,249,cópntīē,co2pntie3
250,250,cōpnzhì,co3pnzhi1
251,251,cópsí,co2psi2
252,252,còpsì,co1psi1
